iter	RMSE
0	180539.9763
1	174306.9489
2	168547.3078
3	163576.6765
4	158982.7004
5	154449.948
6	150306.2587
7	146795.7881
8	143649.4125
9	140780.9694
10	137671.1902
11	135141.9199
12	132408.6381
13	129920.0582
14	127651.4477
15	125570.1996
16	123435.627
17	121548.5549
18	120092.9176
19	118579.3665
20	117318.9179
21	116050.9314
22	114823.1404
23	113651.5698
24	112760.3104
25	111878.4334
26	110928.3796
27	109960.7436
28	109230.3358
29	108363.8412
30	107484.28
31	106585.3821
32	105930.0936
33	105379.1
34	104783.0555
35	104251.1084
36	103764.1691
37	103301.455
38	102784.0861
39	102398.2385
40	102008.4437
41	101538.7391
42	101113.9328
43	100681.541
44	100417.7577
45	100185.5088
46	99830.78378
47	99461.49894
48	99260.08842
49	98955.0053
50	98553.06935
51	98314.26039
52	98047.72113
53	97843.03518
54	97642.35694
55	97370.62047
56	97206.20026
57	96923.71423
58	96742.57126
59	96570.25065
60	96419.14481
61	96249.65892
62	95960.0481
63	95746.72934
64	95540.22223
65	95361.87056
66	95130.66641
67	95011.23244
68	94801.66256
69	94695.23187
70	94483.36951
71	94274.86248
72	94057.10348
73	93895.7836
74	93782.8075
75	93686.73736
76	93570.0907
77	93485.35164
78	93329.66296
79	93240.26748
80	93033.9673
81	92907.21866
82	92817.98242
83	92735.48743
84	92593.32031
85	92490.82365
86	92348.9211
87	92229.0982
88	92156.2414
89	92055.19284
90	91935.29475
91	91827.06518
92	91666.37386
93	91547.07685
94	91456.63913
95	91356.1182
96	91217.99456
97	91154.71222
98	91081.06354
99	90993.26012
100	90798.99193
101	90718.64639
102	90594.88366
103	90478.18714
104	90330.53633
105	90236.78214
106	90186.35023
107	90115.07267
108	89914.69345
109	89813.13194
110	89723.54799
111	89611.33713
112	89446.88389
113	89341.47363
114	89304.28257
115	89240.65462
116	89151.81069
117	89035.52796
118	88940.98057
119	88869.08659
120	88787.04402
121	88731.48215
122	88616.19308
123	88544.59521
124	88465.01659
125	88356.08968
126	88295.28935
127	88222.69055
128	88110.2143
129	88036.52756
130	87883.48295
131	87796.80001
132	87733.38485
133	87656.64073
134	87553.57657
135	87439.29052
136	87392.16171
137	87259.97839
138	87153.60755
139	87093.89747
140	86985.14568
141	86912.80667
142	86831.5582
143	86769.55852
144	86678.87414
145	86591.69341
146	86542.50943
147	86476.30294
148	86407.92766
149	86342.26714
150	86258.08066
151	86150.51321
152	86077.11322
153	85964.70975
154	85903.69262
155	85828.76759
156	85755.92873
157	85664.22452
158	85586.65686
159	85508.19261
160	85382.31146
161	85293.87112
162	85220.30852
163	85174.3655
164	85085.53701
165	84990.11996
166	84890.91403
167	84785.23607
168	84715.00915
169	84650.36085
170	84595.11963
171	84531.55463
172	84460.02873
173	84406.41727
174	84332.51126
175	84275.31564
176	84210.84029
177	84158.71171
178	84072.1533
179	83998.37701
180	83947.3307
181	83875.6738
182	83802.92726
183	83740.57573
184	83692.94023
185	83618.87938
186	83566.91282
187	83522.71557
188	83483.18794
189	83395.00329
190	83307.1315
191	83241.10475
192	83196.78434
193	83138.66993
194	83074.72557
195	83039.01155
196	82988.09669
197	82931.91233
198	82887.26192
199	82825.23366
200	82726.45325
201	82662.8102
202	82630.56669
203	82579.37368
204	82510.94603
205	82450.81547
206	82389.59493
207	82326.20341
208	82282.42876
209	82238.63464
210	82185.00186
211	82116.40747
212	82067.79688
213	82032.46049
214	81989.52418
215	81936.56371
216	81881.05377
217	81822.11766
218	81780.77205
219	81744.15179
220	81699.05826
221	81651.09662
222	81567.51736
223	81476.90438
224	81422.90687
225	81384.38383
226	81330.1902
227	81288.66134
228	81234.40713
229	81193.53781
230	81138.50937
231	81036.54497
232	80984.77124
233	80878.45761
234	80808.05666
235	80782.03609
236	80744.25576
237	80684.77288
238	80649.45217
239	80612.56061
240	80571.87122
241	80529.07894
242	80483.96701
243	80453.00153
244	80398.13688
245	80361.59142
246	80332.51846
247	80284.96325
248	80244.20614
249	80191.48256
250	80139.36551
251	80098.9534
252	80067.06843
253	80002.45576
254	79966.56493
255	79910.50242
256	79884.91164
257	79835.89222
258	79789.66487
259	79742.27625
260	79709.02413
261	79653.49311
262	79608.91602
263	79585.56583
264	79550.19238
265	79518.61239
266	79480.13821
267	79431.44103
268	79397.03731
269	79344.44109
270	79315.63409
271	79271.80127
272	79246.47837
273	79204.78031
274	79185.92903
275	79158.70934
276	79122.75769
277	79086.84147
278	79042.00178
279	79007.0574
280	78963.1912
281	78932.45393
282	78906.68783
283	78836.16347
284	78783.66536
285	78751.51168
286	78722.01037
287	78679.21865
288	78652.04238
289	78615.87687
290	78568.14141
291	78530.07424
292	78491.47728
293	78452.86025
294	78423.85811
295	78369.18822
296	78333.83302
297	78293.25619
298	78256.07019
299	78214.66334
300	78171.1471
301	78119.22561
302	78092.27469
303	78066.50446
304	78020.84385
305	77985.94216
306	77965.23239
307	77936.28395
308	77860.86728
309	77824.76213
310	77802.96095
311	77774.96027
312	77739.85378
313	77682.84473
314	77649.44142
315	77622.3763
316	77579.56789
317	77537.14234
318	77507.50119
319	77486.08379
320	77450.84854
321	77409.98212
322	77380.21838
323	77332.31912
324	77310.24116
325	77291.69179
326	77259.22566
327	77219.3659
328	77194.53622
329	77178.98413
330	77155.77333
331	77122.96254
332	77091.92272
333	77065.60449
334	77044.91638
335	77016.08237
336	76977.79566
337	76957.65129
338	76921.94833
339	76888.62577
340	76862.73084
341	76843.25046
342	76814.92126
343	76781.25238
344	76755.3072
345	76726.21401
346	76699.14866
347	76671.35631
348	76644.42458
349	76600.11843
350	76570.29669
351	76532.38974
352	76511.36703
353	76484.56908
354	76459.35507
355	76426.44602
356	76403.38583
357	76375.45969
358	76337.82992
359	76311.36987
360	76252.48518
361	76226.8716
362	76204.29811
363	76177.87562
364	76158.40158
365	76121.47834
366	76088.50167
367	76070.22326
368	76039.67531
369	76020.18796
370	75993.14483
371	75966.26976
372	75954.40262
373	75922.32897
374	75901.86722
375	75885.4183
376	75855.6862
377	75820.90918
378	75793.62586
379	75774.87621
380	75736.65028
381	75717.73238
382	75681.4508
383	75647.91535
384	75628.41782
385	75593.17715
386	75568.66327
387	75543.75783
388	75522.35109
389	75497.9542
390	75472.46852
391	75448.58189
392	75428.81761
393	75367.15138
394	75349.28015
395	75334.43906
396	75311.61135
397	75285.22424
398	75256.54374
399	75231.17572
400	75206.19134
401	75186.93648
402	75161.93508
403	75142.55424
404	75117.54211
405	75097.08013
406	75076.12282
407	75056.91522
408	75003.20774
409	74975.29964
410	74932.33375
411	74915.62691
412	74895.16728
413	74871.28435
414	74836.56322
415	74816.57427
416	74791.02008
417	74771.43622
418	74730.76174
419	74699.04395
420	74667.29778
421	74652.56143
422	74619.91237
423	74592.2907
424	74566.82488
425	74541.61583
426	74519.6871
427	74501.17581
428	74463.80853
429	74420.19977
430	74394.91096
431	74371.75459
432	74347.82968
433	74333.01264
434	74314.55834
435	74289.40788
436	74256.15311
437	74235.45195
438	74208.70688
439	74190.17513
440	74153.59384
441	74107.23287
442	74081.5307
443	74055.09904
444	74013.39555
445	73974.56833
446	73945.78945
447	73919.95811
448	73894.02227
449	73875.29126
450	73850.6741
451	73816.01384
452	73790.33096
453	73768.60976
454	73734.116
455	73709.26463
456	73687.338
457	73668.07632
458	73637.89332
459	73621.98846
460	73597.45482
461	73567.61223
462	73552.43946
463	73521.81905
464	73501.62464
465	73479.29999
466	73459.30001
467	73434.56771
468	73421.19455
469	73398.72329
470	73379.87041
471	73364.8065
472	73349.85613
473	73326.08898
474	73302.98237
475	73283.73385
476	73266.51623
477	73251.9025
478	73239.09401
479	73229.27912
480	73209.64166
481	73180.80914
482	73153.40205
483	73143.13532
484	73121.93215
485	73092.65423
486	73065.21614
487	73044.89482
488	73028.12171
489	73004.67026
490	72985.98623
491	72963.39564
492	72942.64903
493	72916.68906
494	72886.99276
495	72856.28721
496	72836.26091
497	72808.32529
498	72793.47258
499	72771.81466
500	72756.44978
501	72736.90388
502	72715.65031
503	72706.20658
504	72687.25096
505	72667.63775
506	72648.46519
507	72626.4096
508	72603.92425
509	72586.40482
510	72569.20086
511	72544.42181
512	72523.27434
513	72508.87365
514	72498.14132
515	72471.95921
516	72456.90942
517	72438.795
518	72407.02635
519	72388.92161
520	72367.81463
521	72354.10848
522	72340.91106
523	72311.90806
524	72284.17659
525	72255.43147
526	72242.25309
527	72215.07057
528	72195.88709
529	72189.83271
530	72173.52109
531	72152.09608
532	72135.61694
533	72114.58333
534	72088.42548
535	72073.48533
536	72054.70542
537	72041.62163
538	72022.40818
539	72004.38379
540	71985.08229
541	71969.20715
542	71955.80781
543	71932.39934
544	71911.75829
545	71896.11943
546	71866.50804
547	71849.297
548	71836.86642
549	71827.31312
550	71807.81402
551	71792.34562
552	71781.16806
553	71762.33362
554	71746.68168
555	71730.08522
556	71707.95623
557	71696.43504
558	71677.62124
559	71664.72393
560	71641.49758
561	71617.34291
562	71600.50846
563	71586.06138
564	71571.739
565	71554.58912
566	71539.46922
567	71513.73084
568	71496.93326
569	71476.08419
570	71458.22777
571	71443.55631
572	71423.37388
573	71406.2151
574	71396.73249
575	71387.55341
576	71365.43486
577	71346.59028
578	71323.67125
579	71301.07424
580	71285.80183
581	71274.46432
582	71261.95449
583	71243.5466
584	71228.49679
585	71215.34896
586	71198.59519
587	71175.74111
588	71156.75846
589	71141.84811
590	71124.59368
591	71102.19658
592	71094.69007
593	71079.17014
594	71064.29552
595	71053.2768
596	71041.69993
597	71030.1856
598	71012.33599
599	70997.41375
600	70981.05986
601	70953.37412
602	70939.53474
603	70923.40409
604	70904.26804
605	70887.00344
606	70875.85235
607	70859.41953
608	70838.2235
609	70821.15423
610	70802.06149
611	70788.14038
612	70773.40038
613	70755.92163
614	70744.94277
615	70723.53821
616	70707.95198
617	70696.03262
618	70680.3063
619	70664.91407
620	70652.82568
621	70634.4493
622	70626.20578
623	70609.4886
624	70597.33624
625	70559.30085
626	70545.8776
627	70527.42375
628	70512.40205
629	70487.34122
630	70471.66073
631	70460.69417
632	70439.74035
633	70423.85032
634	70407.7895
635	70393.5437
636	70377.40133
637	70361.61595
638	70350.34054
639	70328.72936
640	70308.19944
641	70296.46436
642	70270.08369
643	70256.99481
644	70240.86087
645	70232.84328
646	70214.86318
647	70202.68462
648	70184.80772
649	70169.84495
650	70154.24607
651	70138.98725
652	70125.944
653	70098.46831
654	70080.63487
655	70065.75609
656	70049.46081
657	70030.03589
658	70016.911
659	69997.52459
660	69960.65123
661	69947.48072
662	69935.9156
663	69916.45772
664	69896.30783
665	69882.97653
666	69864.48591
667	69837.79815
668	69825.77912
669	69804.72032
670	69785.68893
671	69772.8725
672	69756.61781
673	69747.47469
674	69728.38864
675	69711.32091
676	69696.01034
677	69685.32307
678	69670.47709
679	69657.26225
680	69626.51202
681	69616.46981
682	69602.28408
683	69584.50556
684	69569.27582
685	69549.87698
686	69537.93138
687	69519.77081
688	69505.23442
689	69487.11633
690	69464.65831
691	69445.22567
692	69420.1958
693	69399.85096
694	69380.21992
695	69371.69268
696	69357.37834
697	69342.86876
698	69326.87053
699	69308.59104
700	69288.58711
701	69281.28027
702	69267.58372
703	69251.67883
704	69240.34262
705	69235.22629
706	69219.04615
707	69205.51394
708	69195.32923
709	69186.45452
710	69170.75493
711	69152.36972
712	69125.35524
713	69111.40789
714	69097.47982
715	69080.92425
716	69069.25956
717	69057.75615
718	69044.30736
719	69028.39359
720	69004.29063
721	68989.08975
722	68980.98562
723	68970.27628
724	68956.13917
725	68944.98871
726	68928.85277
727	68918.47307
728	68900.54937
729	68863.50134
730	68852.57806
731	68844.36777
732	68830.1877
733	68815.97681
734	68799.47592
735	68786.66145
736	68768.53417
737	68752.212
738	68741.05065
739	68724.69322
740	68703.50979
741	68688.2566
742	68651.90296
743	68636.61661
744	68625.27177
745	68614.20126
746	68597.14916
747	68579.80056
748	68553.12489
749	68540.77849
750	68521.35847
751	68501.52678
752	68487.45773
753	68455.6019
754	68442.16952
755	68417.93196
756	68398.04575
757	68388.97454
758	68369.65685
759	68362.83193
760	68343.00294
761	68331.6897
762	68314.68449
763	68304.93401
764	68290.83087
765	68279.12556
766	68255.7679
767	68228.34371
768	68209.0346
769	68199.1967
770	68190.84164
771	68173.56939
772	68160.1847
773	68142.82626
774	68131.23879
775	68120.72694
776	68089.76787
777	68078.83462
778	68059.62499
779	68045.23326
780	68027.85639
781	68016.90969
782	68003.10175
783	67985.82879
784	67963.13337
785	67948.03859
786	67940.31424
787	67921.53002
788	67903.0128
789	67888.63753
790	67874.65801
791	67858.82641
792	67845.36216
793	67831.83763
794	67821.97654
795	67806.29107
796	67780.90936
797	67763.94948
798	67754.71306
799	67746.27017
800	67736.78089
801	67729.21787
802	67701.24136
803	67691.52206
804	67681.23846
805	67661.95945
806	67653.13475
807	67616.1554
808	67606.90456
809	67584.55576
810	67574.97724
811	67563.92096
812	67550.47108
813	67540.82614
814	67524.5687
815	67507.36736
816	67491.07553
817	67475.50068
818	67457.63547
819	67442.39008
820	67431.51162
821	67412.91685
822	67400.61782
823	67392.0832
824	67380.3714
825	67368.7385
826	67353.72229
827	67344.01541
828	67331.78161
829	67316.37474
830	67304.44167
