iter	Passed	Remaining
0	62	62534
1	65	32821
2	68	22713
3	70	17573
4	72	14502
5	75	12461
6	77	10991
7	79	9886
8	81	9000
9	83	8300
10	86	7738
11	88	7268
12	90	6872
13	92	6535
14	94	6231
15	97	5966
16	99	5745
17	101	5537
18	103	5351
19	106	5196
20	108	5046
21	110	4913
22	112	4795
23	114	4676
24	116	4561
25	118	4456
26	121	4366
27	123	4291
28	125	4212
29	128	4143
30	130	4081
31	132	4018
32	135	3958
33	137	3912
34	140	3860
35	142	3812
36	144	3763
37	146	3720
38	149	3676
39	151	3627
40	153	3585
41	155	3548
42	157	3514
43	159	3475
44	162	3441
45	164	3414
46	167	3394
47	169	3361
48	171	3333
49	174	3306
50	176	3277
51	178	3251
52	180	3232
53	183	3208
54	185	3183
55	187	3161
56	189	3140
57	192	3123
58	194	3099
59	196	3083
60	198	3060
61	201	3045
62	203	3027
63	205	3010
64	208	2994
65	210	2977
66	213	2969
67	215	2951
68	217	2936
69	219	2918
70	222	2908
71	224	2898
72	227	2883
73	229	2867
74	231	2854
75	233	2839
76	235	2828
77	238	2815
78	240	2804
79	242	2792
80	244	2779
81	246	2765
82	249	2753
83	251	2741
84	253	2730
85	255	2718
86	258	2709
87	260	2697
88	262	2689
89	265	2680
90	267	2669
91	269	2659
92	272	2653
93	274	2641
94	276	2632
95	278	2626
96	281	2617
97	283	2608
98	285	2598
99	287	2589
100	290	2581
101	292	2574
102	295	2571
103	297	2563
104	300	2558
105	302	2552
106	304	2543
107	306	2534
108	309	2527
109	311	2518
110	313	2509
111	315	2503
112	318	2501
113	321	2495
114	323	2488
115	325	2482
116	327	2475
117	330	2468
118	332	2462
119	334	2454
120	337	2449
121	339	2441
122	341	2436
123	343	2429
124	346	2423
125	348	2417
126	350	2411
127	353	2404
128	355	2398
129	357	2391
130	359	2387
131	362	2382
132	364	2376
133	366	2370
134	369	2365
135	371	2360
136	373	2352
137	375	2346
138	377	2341
139	380	2335
140	382	2332
141	384	2325
142	387	2320
143	389	2315
144	392	2311
145	394	2309
146	397	2303
147	399	2299
148	401	2294
149	404	2290
150	406	2285
151	408	2279
152	410	2275
153	413	2270
154	415	2265
155	417	2260
156	420	2256
157	422	2252
158	425	2248
159	427	2245
160	430	2241
161	432	2237
162	434	2232
163	437	2228
164	439	2225
165	442	2223
166	445	2221
167	447	2218
168	450	2214
169	452	2211
170	455	2207
171	457	2203
172	460	2200
173	463	2199
174	466	2197
175	469	2196
176	471	2193
177	474	2190
178	477	2191
179	480	2187
180	482	2183
181	484	2179
182	487	2174
183	489	2170
184	491	2166
185	494	2163
186	496	2158
187	498	2154
188	500	2149
189	503	2146
190	505	2142
191	508	2138
192	510	2134
193	512	2130
194	515	2126
195	517	2121
196	519	2116
197	521	2111
198	523	2108
199	525	2103
200	528	2099
201	530	2095
202	532	2091
203	534	2087
204	537	2082
205	539	2078
206	541	2074
207	543	2071
208	546	2066
209	548	2062
210	550	2058
211	552	2055
212	555	2051
213	557	2047
214	559	2044
215	562	2040
216	564	2036
217	566	2032
218	569	2029
219	571	2025
220	573	2021
221	575	2017
222	578	2015
223	580	2011
224	582	2007
225	585	2003
226	587	2001
227	589	1996
228	591	1993
229	594	1990
230	597	1989
231	600	1988
232	603	1988
233	607	1987
234	611	1990
235	614	1989
236	617	1987
237	620	1986
238	623	1984
239	626	1982
240	628	1980
241	631	1977
242	634	1975
243	636	1973
244	639	1972
245	643	1971
246	645	1969
247	648	1965
248	652	1967
249	656	1968
250	659	1966
251	662	1967
252	666	1966
253	669	1966
254	672	1965
255	676	1967
256	681	1969
257	685	1971
258	689	1972
259	693	1974
260	700	1983
261	709	1998
262	715	2006
263	724	2019
264	730	2027
265	737	2035
266	742	2038
267	747	2041
268	752	2045
269	756	2045
270	761	2048
271	765	2050
272	769	2048
273	773	2049
274	778	2053
275	783	2054
276	786	2053
277	792	2059
278	796	2059
279	801	2060
280	805	2059
281	808	2058
282	811	2055
283	815	2056
284	820	2059
285	825	2059
286	829	2060
287	833	2061
288	837	2059
289	840	2058
290	845	2060
291	851	2064
292	858	2070
